scenario,goal,dimension,rgn_id,score,year,rgn_name
eez2012,AO,future,0,80.52,2012,Global
eez2012,AO,future,163,100,2012,United States
eez2012,AO,future,218,100,2012,Canada
eez2012,AO,pressures,163,20.45,2012,United States
eez2012,AO,pressures,218,14.67,2012,Canada
eez2012,AO,resilience,163,77.19,2012,United States
eez2012,AO,resilience,218,79.6,2012,Canada
eez2012,AO,score,0,76.76,2012,Global
eez2012,AO,score,163,99.96,2012,United States
eez2012,AO,score,218,96.93,2012,Canada
eez2012,AO,status,0,72.99,2012,Global
eez2012,AO,status,163,99.91,2012,United States
eez2012,AO,status,218,93.85,2012,Canada
eez2012,AO,trend,163,0,2012,United States
eez2012,AO,trend,218,0,2012,Canada
eez2012,BD,future,0,91.44,2012,Global
eez2012,BD,future,163,85.03,2012,United States
eez2012,BD,future,218,100,2012,Canada
eez2012,BD,pressures,163,NA,2012,United States
eez2012,BD,pressures,218,NA,2012,Canada
eez2012,BD,resilience,163,NA,2012,United States
eez2012,BD,resilience,218,NA,2012,Canada
eez2012,BD,score,0,90.93,2012,Global
eez2012,BD,score,163,84.89,2012,United States
eez2012,BD,score,218,93.91,2012,Canada
eez2012,BD,status,0,90.43,2012,Global
eez2012,BD,status,163,84.76,2012,United States
eez2012,BD,status,218,87.82,2012,Canada
eez2012,BD,trend,163,-0.18,2012,United States
eez2012,BD,trend,218,-0.07,2012,Canada
eez2012,CP,future,0,90.32,2012,Global
eez2012,CP,future,163,96.29,2012,United States
eez2012,CP,future,218,100,2012,Canada
eez2012,CP,pressures,163,24.7,2012,United States
eez2012,CP,pressures,218,21.03,2012,Canada
eez2012,CP,resilience,163,73.96,2012,United States
eez2012,CP,resilience,218,85.85,2012,Canada
eez2012,CP,score,0,87.84,2012,Global
eez2012,CP,score,163,91.28,2012,United States
eez2012,CP,score,218,95.67,2012,Canada
eez2012,CP,status,0,85.35,2012,Global
eez2012,CP,status,163,86.26,2012,United States
eez2012,CP,status,218,91.35,2012,Canada
eez2012,CP,trend,163,-0.07,2012,United States
eez2012,CP,trend,218,-0.02,2012,Canada
eez2012,CS,future,0,80.07,2012,Global
eez2012,CS,future,163,58.58,2012,United States
eez2012,CS,future,218,59.6,2012,Canada
eez2012,CS,pressures,163,26.48,2012,United States
eez2012,CS,pressures,218,12.01,2012,Canada
eez2012,CS,resilience,163,54.03,2012,United States
eez2012,CS,resilience,218,69.04,2012,Canada
eez2012,CS,score,0,79.25,2012,Global
eez2012,CS,score,163,62.15,2012,United States
eez2012,CS,score,218,54.88,2012,Canada
eez2012,CS,status,0,78.42,2012,Global
eez2012,CS,status,163,65.72,2012,United States
eez2012,CS,status,218,50.16,2012,Canada
eez2012,CS,trend,163,-0.3,2012,United States
eez2012,CS,trend,218,0,2012,Canada
eez2012,CW,future,0,74.91,2012,Global
eez2012,CW,future,163,88.7,2012,United States
eez2012,CW,future,218,100,2012,Canada
eez2012,CW,pressures,163,52.26,2012,United States
eez2012,CW,pressures,218,23.22,2012,Canada
eez2012,CW,resilience,163,39.85,2012,United States
eez2012,CW,resilience,218,67.93,2012,Canada
eez2012,CW,score,0,74.15,2012,Global
eez2012,CW,score,163,83,2012,United States
eez2012,CW,score,218,95.73,2012,Canada
eez2012,CW,status,0,73.38,2012,Global
eez2012,CW,status,163,77.3,2012,United States
eez2012,CW,status,218,91.45,2012,Canada
eez2012,CW,trend,163,0.28,2012,United States
eez2012,CW,trend,218,-0.01,2012,Canada
eez2012,ECO,future,0,80.9,2012,Global
eez2012,ECO,future,163,100,2012,United States
eez2012,ECO,future,218,100,2012,Canada
eez2012,ECO,pressures,163,22.47,2012,United States
eez2012,ECO,pressures,218,13.36,2012,Canada
eez2012,ECO,resilience,163,78.97,2012,United States
eez2012,ECO,resilience,218,82.63,2012,Canada
eez2012,ECO,score,0,81.34,2012,Global
eez2012,ECO,score,163,99.83,2012,United States
eez2012,ECO,score,218,100,2012,Canada
eez2012,ECO,status,0,81.78,2012,Global
eez2012,ECO,status,163,99.66,2012,United States
eez2012,ECO,status,218,100,2012,Canada
eez2012,ECO,trend,163,0,2012,United States
eez2012,ECO,trend,218,0,2012,Canada
eez2012,FIS,future,0,56.04,2012,Global
eez2012,FIS,future,163,62.91,2012,United States
eez2012,FIS,future,218,32.9,2012,Canada
eez2012,FIS,pressures,163,26.06,2012,United States
eez2012,FIS,pressures,218,19.93,2012,Canada
eez2012,FIS,resilience,163,72.17,2012,United States
eez2012,FIS,resilience,218,77.82,2012,Canada
eez2012,FIS,score,0,53.54,2012,Global
eez2012,FIS,score,163,59.36,2012,United States
eez2012,FIS,score,218,31.25,2012,Canada
eez2012,FIS,status,0,51.03,2012,Global
eez2012,FIS,status,163,55.8,2012,United States
eez2012,FIS,status,218,29.6,2012,Canada
eez2012,FIS,trend,163,-0.04,2012,United States
eez2012,FIS,trend,218,-0.12,2012,Canada
eez2012,FP,future,0,56.07,2012,Global
eez2012,FP,future,163,61.29,2012,United States
eez2012,FP,future,218,39.47,2012,Canada
eez2012,FP,pressures,163,NA,2012,United States
eez2012,FP,pressures,218,NA,2012,Canada
eez2012,FP,resilience,163,NA,2012,United States
eez2012,FP,resilience,218,NA,2012,Canada
eez2012,FP,score,0,53.57,2012,Global
eez2012,FP,score,163,57.83,2012,United States
eez2012,FP,score,218,37.01,2012,Canada
eez2012,FP,status,0,51.07,2012,Global
eez2012,FP,status,163,54.37,2012,United States
eez2012,FP,status,218,34.55,2012,Canada
eez2012,FP,trend,163,-0.04,2012,United States
eez2012,FP,trend,218,-0.1,2012,Canada
eez2012,HAB,future,0,92.15,2012,Global
eez2012,HAB,future,163,75.43,2012,United States
eez2012,HAB,future,218,100,2012,Canada
eez2012,HAB,pressures,163,25.89,2012,United States
eez2012,HAB,pressures,218,15.75,2012,Canada
eez2012,HAB,resilience,163,73.02,2012,United States
eez2012,HAB,resilience,218,83.99,2012,Canada
eez2012,HAB,score,0,90.11,2012,Global
eez2012,HAB,score,163,75.61,2012,United States
eez2012,HAB,score,218,92.36,2012,Canada
eez2012,HAB,status,0,88.06,2012,Global
eez2012,HAB,status,163,75.78,2012,United States
eez2012,HAB,status,218,84.73,2012,Canada
eez2012,HAB,trend,163,-0.24,2012,United States
eez2012,HAB,trend,218,-0.03,2012,Canada
eez2012,ICO,future,0,70.64,2012,Global
eez2012,ICO,future,163,74.75,2012,United States
eez2012,ICO,future,218,76.31,2012,Canada
eez2012,ICO,pressures,163,30.6,2012,United States
eez2012,ICO,pressures,218,15.73,2012,Canada
eez2012,ICO,resilience,163,71.94,2012,United States
eez2012,ICO,resilience,218,79.75,2012,Canada
eez2012,ICO,score,0,66.21,2012,Global
eez2012,ICO,score,163,69.57,2012,United States
eez2012,ICO,score,218,68.79,2012,Canada
eez2012,ICO,status,0,61.78,2012,Global
eez2012,ICO,status,163,64.39,2012,United States
eez2012,ICO,status,218,61.27,2012,Canada
eez2012,ICO,trend,163,0.04,2012,United States
eez2012,ICO,trend,218,0.05,2012,Canada
eez2012,Index,future,0,73.31,2012,Global
eez2012,Index,future,163,77.6,2012,United States
eez2012,Index,future,218,81.86,2012,Canada
eez2012,Index,score,0,71.18,2012,Global
eez2012,Index,score,163,75.86,2012,United States
eez2012,Index,score,218,76.5,2012,Canada
eez2012,LE,future,0,77.9,2012,Global
eez2012,LE,future,163,75.73,2012,United States
eez2012,LE,future,218,96.86,2012,Canada
eez2012,LE,pressures,163,NA,2012,United States
eez2012,LE,pressures,218,NA,2012,Canada
eez2012,LE,resilience,163,NA,2012,United States
eez2012,LE,resilience,218,NA,2012,Canada
eez2012,LE,score,0,78.79,2012,Global
eez2012,LE,score,163,79.2,2012,United States
eez2012,LE,score,218,92.84,2012,Canada
eez2012,LE,status,0,79.67,2012,Global
eez2012,LE,status,163,82.67,2012,United States
eez2012,LE,status,218,88.81,2012,Canada
eez2012,LE,trend,163,-0.25,2012,United States
eez2012,LE,trend,218,0.01,2012,Canada
eez2012,LIV,future,0,74.91,2012,Global
eez2012,LIV,future,163,51.46,2012,United States
eez2012,LIV,future,218,93.73,2012,Canada
eez2012,LIV,pressures,163,23.35,2012,United States
eez2012,LIV,pressures,218,13.32,2012,Canada
eez2012,LIV,resilience,163,59.23,2012,United States
eez2012,LIV,resilience,218,70.25,2012,Canada
eez2012,LIV,score,0,76.23,2012,Global
eez2012,LIV,score,163,58.57,2012,United States
eez2012,LIV,score,218,85.67,2012,Canada
eez2012,LIV,status,0,77.56,2012,Global
eez2012,LIV,status,163,65.69,2012,United States
eez2012,LIV,status,218,77.61,2012,Canada
eez2012,LIV,trend,163,-0.5,2012,United States
eez2012,LIV,trend,218,0.03,2012,Canada
eez2012,LSP,future,0,58.92,2012,Global
eez2012,LSP,future,163,76.31,2012,United States
eez2012,LSP,future,218,31.36,2012,Canada
eez2012,LSP,pressures,163,35.22,2012,United States
eez2012,LSP,pressures,218,16.2,2012,Canada
eez2012,LSP,resilience,163,48.94,2012,United States
eez2012,LSP,resilience,218,77.02,2012,Canada
eez2012,LSP,score,0,56.1,2012,Global
eez2012,LSP,score,163,74.49,2012,United States
eez2012,LSP,score,218,26.97,2012,Canada
eez2012,LSP,status,0,53.27,2012,Global
eez2012,LSP,status,163,72.67,2012,United States
eez2012,LSP,status,218,22.57,2012,Canada
eez2012,LSP,trend,163,0.01,2012,United States
eez2012,LSP,trend,218,0.28,2012,Canada
eez2012,MAR,future,0,32.65,2012,Global
eez2012,MAR,future,163,11.52,2012,United States
eez2012,MAR,future,218,92.67,2012,Canada
eez2012,MAR,pressures,163,20.05,2012,United States
eez2012,MAR,pressures,218,10.21,2012,Canada
eez2012,MAR,resilience,163,53.95,2012,United States
eez2012,MAR,resilience,218,73.91,2012,Canada
eez2012,MAR,score,0,30.12,2012,Global
eez2012,MAR,score,163,11.03,2012,United States
eez2012,MAR,score,218,83.63,2012,Canada
eez2012,MAR,status,0,27.59,2012,Global
eez2012,MAR,status,163,10.54,2012,United States
eez2012,MAR,status,218,74.6,2012,Canada
eez2012,MAR,trend,163,-0.03,2012,United States
eez2012,MAR,trend,218,0.05,2012,Canada
eez2012,NP,future,0,62.71,2012,Global
eez2012,NP,future,163,87.55,2012,United States
eez2012,NP,future,218,100,2012,Canada
eez2012,NP,pressures,163,17.72,2012,United States
eez2012,NP,pressures,218,11.33,2012,Canada
eez2012,NP,resilience,163,72.21,2012,United States
eez2012,NP,resilience,218,80.27,2012,Canada
eez2012,NP,score,0,59.11,2012,Global
eez2012,NP,score,163,80.83,2012,United States
eez2012,NP,score,218,91.17,2012,Canada
eez2012,NP,status,0,55.51,2012,Global
eez2012,NP,status,163,74.1,2012,United States
eez2012,NP,status,218,82.35,2012,Canada
eez2012,NP,trend,163,0,2012,United States
eez2012,NP,trend,218,0.51,2012,Canada
eez2012,SP,future,0,64.78,2012,Global
eez2012,SP,future,163,75.53,2012,United States
eez2012,SP,future,218,53.84,2012,Canada
eez2012,SP,pressures,163,NA,2012,United States
eez2012,SP,pressures,218,NA,2012,Canada
eez2012,SP,resilience,163,NA,2012,United States
