"","rgn","artisanal_fishing","demersal_destructive_fishing","demersal_nondest_high_bycatch","demersal_nondest_low_bycatch","inorganic","ocean_acidification","pelagic_high_bycatch","pelagic_low_bycatch","plumes_fert","plumes_pest","sst","uv"
"1","American Samoa",0,0,0,0,0,0,0,0,0,0,0,0
"2","Canada Arctic East",200.284,67997.262,4069.091,2060.613,1814.177,1259768.091,0,80.102,3726.683,816.337,2486145.725,1260091.082
"3","Canada Arctic West",22.674,41.947,5.947,0,5.217,535291.168,0,0,55.433,3.147,171092.517,72531.327
"4","Canada Atlantic",3686.403,307751.023,176447.867,72431.711,8897.74,1419273.026,0,46611.911,4304.777,538.69,3141939.291,1273846.236
"5","Canada Pacific",947.235,19629.146,4390.691,10505.618,1653.099,448333.638,0,923.718,464.665,61.887,242349.173,338626.515
"6","Howland Island and Baker Island",0,259.001,1309.186,4326.784,0,338645.465,0,5365.145,0,0,345517.451,249893.644
"7","Jarvis Island",0,28.012,30.962,163.502,0,107261.497,0,232.083,0,0,7910.748,86905.288
"8","Johnston Atoll",0,384.948,337.255,1625.412,0,599246.143,0,2358.859,0,0,678602.366,320189.007
"9","Northern Mariana Islands and Guam",298.103,7310.229,25405.01,46447.659,295.904,1313141.24,0,65822.64,0,0,2003895.498,771966.856
"10","Palmyra Atoll",0,405.19,271.893,868.183,0,433162.154,0,925.669,0,0,200811.936,290876.872
"11","Puerto Rico and Virgin Islands of the United States",1026.352,4689.663,2841.342,2627.427,2466.389,292392.494,2455.372,389.53,0.001,0,498108.436,145593.696
"12","Russia Bering Sea",88.373,112787.691,27629.067,68461.049,537.671,671743.921,0,8.716,205.03,9.312,1690173.862,737219.341
"13","United States Alaska Arctic",4.02,35.128,7.115,0,5.058,301181.703,0,0,1139.579,66.308,294600.984,110920.346
"14","United States Alaska Pacific",140.859,544563.599,82380.982,71961.72,5304.144,2360326.637,0,2965.081,4698.191,418.025,4126997.921,2628177.323
"15","United States Central California",133.931,18312.858,13299.539,5319.174,1259.398,212479.861,0,296.011,916.294,349.349,144289.015,165994.086
"16","United States Gulf of Mexico",556.685,55672.971,21173.984,48483.597,13976.945,663343.335,4195.045,401.199,16961.272,3213.739,1024919.02,375977.942
"17","United States Hawaii",465.619,4748.676,7170.003,16800.018,1467.252,3337297.277,6975.294,8473.376,1667.221,211.779,3783241.513,2088504.131
"18","United States Mid Atlantic",225.71,34324.088,12478.699,11192.083,3984.522,160877.378,0,1492.147,3946.299,962.674,145146.868,113500.448
"19","United States New England",969.07,55483.927,15628.216,9586.372,4992.8,246059.059,0,2457.242,2053.125,346.109,447832.52,203283.893
"20","United States Northern California",59.167,10047.699,6684.695,5684.515,605.358,174838.99,0,205.018,578.182,119.928,137908.514,147165.242
"21","United States Oregon",63.804,5574.848,1003.146,10138.34,995.179,199893.431,0,297.798,786.836,219.566,132007.134,162654.81
"22","United States South Atlantic",573.914,32635.522,9680.507,11333.836,8913.513,519706.977,1710.837,878.036,7271.438,907.706,588546.385,253385.187
"23","United States Southern California",223.909,9643.344,5632.295,9055.041,2883.255,228502.564,0,394.611,616.991,76.272,103165.123,141319.823
"24","United States Washington",281.674,4999.239,724.292,7161.696,1756.286,64785.721,0,117.378,1038.288,301.092,70555.431,51850.98
"25","Wake Island",0,1682.545,6042.818,7987.207,0,591141.278,0,11810.099,0,0,839711.526,266456.189
